left_force,right_force,sum_force
68.534669, 0.000000, 68.534669
27.743934,24.637601,52.381536
34.494681,31.077554,65.572235
46.503012,49.792356,96.295368
29.851756,41.949738,71.801494
18.777079,54.513930,73.291008
9.988418,62.751142,72.739560
3.090972,67.515990,70.606962
0.000000,70.421786,70.421786
0.000000,69.855536,69.855536
0.000000,69.536039,69.536039
0.000000,69.274464,69.274464
0.000000,68.981215,68.981215
0.000000,68.563196,68.563196
0.000000,82.579004,82.579004
0.000000,68.226150,68.226150
0.000000,69.079851,69.079851
0.000000,69.479184,69.479184
0.000000,69.654344,69.654344
0.000000,69.678032,69.678032
0.000000,69.146617,69.146617
0.000000,69.229595,69.229595
0.000000,68.998412,68.998412
0.000000,68.391716,68.391716
0.000000,67.992252,67.992252
0.000000,67.518205,67.518205
0.000000,66.585675,66.585675
72.465951,6.398707,78.864658
67.728017,0.000000,67.728017
68.730607,0.000000,68.730607
68.344151,0.000000,68.344151
67.868000,0.000000,67.868000
83.456107,0.000000,83.456107
70.117571,0.000000,70.117571
69.694978,0.000000,69.694978
69.006671,0.000000,69.006671
71.977111,0.000000,71.977111
69.878035,0.000000,69.878035
69.853084,0.000000,69.853084
69.524890,0.000000,69.524890
68.926804,0.000000,68.926804
69.691832,0.000000,69.691832
69.622503,0.000000,69.622503
69.614822,0.000000,69.614822
69.548599,0.000000,69.548599
69.382167,0.000000,69.382167
69.086579,0.000000,69.086579
68.636724,0.000000,68.636724
68.011062,0.000000,68.011062
67.673014,0.000000,67.673014
67.139962,0.000000,67.139962
66.378863,0.000000,66.378863
66.517007,0.000000,66.517007
0.000000,64.424528,64.424528
0.000000,67.982789,67.982789
0.000000,68.316604,68.316604
0.000000,68.419460,68.419460
0.000000,68.324734,68.324734
0.000000,67.962295,67.962295
0.000000,67.224904,67.224904
0.000000,70.164889,70.164889
0.000000,69.573201,69.573201
0.000000,68.931474,68.931474
0.000000,68.730039,68.730039
0.000000,68.679076,68.679076
0.000000,68.548682,68.548682
0.000000,67.936188,67.936188
0.000000,69.504482,69.504482
0.000000,67.907643,67.907643
0.000000,69.704710,69.704710
0.000000,69.140830,69.140830
0.000000,68.876957,68.876957
0.000000,68.539407,68.539407
0.000000,68.047582,68.047582
0.000000,67.761717,67.761717
0.000000,67.519933,67.519933
0.000000,66.936374,66.936374
0.000000,66.677501,66.677501
76.753514,0.000000,76.753514
66.991997,0.000000,66.991997
67.840532,0.000000,67.840532
68.413438,0.000000,68.413438
68.573774,0.000000,68.573774
68.492788,0.000000,68.492788
68.195887,0.000000,68.195887
67.601528,0.000000,67.601528
82.997405,0.000000,82.997405
72.908757,0.000000,72.908757
68.257224,0.000000,68.257224
68.458076,0.000000,68.458076
68.652042,0.000000,68.652042
68.740556,0.000000,68.740556
68.754561,0.000000,68.754561
68.674363,0.000000,68.674363
76.041463,0.000000,76.041463
72.062536,0.000000,72.062536
67.716615,0.000000,67.716615
67.412112,0.000000,67.412112
66.704153,0.000000,66.704153
67.313141,0.000000,67.313141
67.316654,0.000000,67.316654
67.189525,0.000000,67.189525
68.383540,0.000000,68.383540
0.000000,75.609568,75.609568
0.000000,67.210209,67.210209
0.000000,67.946735,67.946735
0.000000,68.494576,68.494576
0.000000,68.696384,68.696384
0.000000,68.680860,68.680860
0.000000,68.489819,68.489819
0.000000,68.094552,68.094552
0.000000,67.359331,67.359331
0.000000,65.930551,65.930551
0.000000,67.793579,67.793579
0.000000,68.963877,68.963877
0.000000,68.711469,68.711469
0.000000,68.673668,68.673668
0.000000,68.595705,68.595705
0.000000,74.990642,74.990642
0.000000,71.745448,71.745448
0.000000,68.041537,68.041537
0.000000,68.024439,68.024439
0.000000,67.994229,67.994229
0.000000,67.981990,67.981990
0.000000,67.710080,67.710080
0.000000,67.536876,67.536876
0.000000,66.964713,66.964713
0.000000,66.938720,66.938720
64.412332,0.000000,64.412332
68.139184,0.000000,68.139184
67.915995,0.000000,67.915995
68.451240,0.000000,68.451240
68.704120,0.000000,68.704120
68.746337,0.000000,68.746337
68.645652,0.000000,68.645652
68.394263,0.000000,68.394263
67.915110,0.000000,67.915110
67.063152,0.000000,67.063152
73.620472,0.000000,73.620472
68.042780,0.000000,68.042780
68.344055,0.000000,68.344055
68.561605,0.000000,68.561605
68.734228,0.000000,68.734228
68.861313,0.000000,68.861313
68.939247,0.000000,68.939247
68.925834,0.000000,68.925834
68.759392,0.000000,68.759392
66.921802,0.000000,66.921802
65.981306,0.000000,65.981306
65.720481,0.000000,65.720481
65.289690,0.000000,65.289690
68.131526,0.000000,68.131526
67.032872,0.000000,67.032872
0.000000,111.763237,111.763237
0.000000,65.256154,65.256154
0.000000,67.096354,67.096354
0.000000,67.922833,67.922833
0.000000,68.035519,68.035519
0.000000,67.664204,67.664204
0.000000,80.053087,80.053087
0.000000,75.169336,75.169336
0.000000,68.909383,68.909383
0.000000,68.665758,68.665758
0.000000,68.711055,68.711055
0.000000,68.600226,68.600226
0.000000,74.103425,74.103425
0.000000,69.441022,69.441022
0.000000,68.748312,68.748312
0.000000,69.074094,69.074094
0.000000,69.395148,69.395148
0.000000,69.257057,69.257057
0.000000,69.120473,69.120473
0.000000,68.826427,68.826427
0.000000,68.339240,68.339240
0.000000,67.784510,67.784510
0.000000,67.538854,67.538854
0.000000,66.973306,66.973306
0.000000,67.028196,67.028196
95.355918,0.000000,95.355918
67.176410,0.000000,67.176410
67.484862,0.000000,67.484862
68.198346,0.000000,68.198346
68.534669,0.000000,68.534669
68.602487,0.000000,68.602487
68.488416,0.000000,68.488416
68.164995,0.000000,68.164995
67.534705,0.000000,67.534705
83.540827,0.000000,83.540827
67.671537,0.000000,67.671537
68.108494,0.000000,68.108494
68.406953,0.000000,68.406953
68.610131,0.000000,68.610131
68.744037,0.000000,68.744037
68.842494,0.000000,68.842494
68.894526,0.000000,68.894526
68.865943,0.000000,68.865943
68.679500,0.000000,68.679500
67.134239,0.000000,67.134239
66.394567,0.000000,66.394567
65.681781,0.000000,65.681781
65.377328,0.000000,65.377328
68.378175,0.000000,68.378175
67.697294,0.000000,67.697294
0.000000,96.078802,96.078802
0.000000,67.065207,67.065207
0.000000,67.333660,67.333660
0.000000,67.964351,67.964351
0.000000,68.183268,68.183268
0.000000,68.007899,68.007899
0.000000,67.404277,67.404277
0.000000,65.842560,65.842560
0.000000,69.599184,69.599184
0.000000,68.796426,68.796426
0.000000,68.722929,68.722929
0.000000,68.645674,68.645674
0.000000,68.417008,68.417008
0.000000,69.229339,69.229339
0.000000,68.416609,68.416609
0.000000,69.112476,69.112476
0.000000,70.131465,70.131465
0.000000,69.283131,69.283131
0.000000,69.165033,69.165033
0.000000,68.918001,68.918001
0.000000,68.505211,68.505211
